SampleID,Decimal.Chronological.Age
204229110113_R01C01,47.61
204229110113_R02C01,47.81
204229110113_R03C01,54.21
204229110113_R04C01,59.84
204229110113_R05C01,44.16
204229110113_R06C01,61.25
204229110113_R07C01,54.17
204229110113_R08C01,52.02
204229110119_R01C01,64.6
204229110119_R02C01,42
204229110119_R03C01,42.98
204229110119_R04C01,64.14
204229110119_R05C01,52.92
204229110119_R06C01,52.72
204229110119_R07C01,39.4
204229110119_R08C01,69.72
204229110128_R01C01,43.8
204229110128_R02C01,77.66
204229110128_R03C01,44.57
204229110128_R04C01,46.18
204229110128_R05C01,53.59
204229110128_R06C01,41.91
204229110128_R07C01,41.46
204229110128_R08C01,51.44
204229110133_R01C01,65.66
204229110133_R02C01,50.44
204229110133_R03C01,59.71
204229110133_R04C01,50.93
204229110133_R05C01,64.92
204229110133_R06C01,51.01
204229110133_R07C01,38.3
204229110133_R08C01,66.22
204229110135_R01C01,63.71
204229110135_R02C01,59.75
204229110135_R03C01,53.17
204229110135_R04C01,47.58
204229110135_R05C01,49.63
204229110135_R06C01,65.65
204229110135_R07C01,59.14
204229110135_R08C01,67.78
204229110155_R01C01,43.71
204229110155_R02C01,39.57
204229110155_R03C01,39.21
204229110155_R04C01,59.21
204229110155_R05C01,43.39
204229110155_R06C01,50.14
204229110155_R07C01,64.83
204229110155_R08C01,43.07
204229110156_R01C01,40.57
204229110156_R02C01,57.91
204229110156_R03C01,45.26
204229110156_R04C01,68.66
204229110156_R05C01,59.4
204229110156_R06C01,59.66
204229110156_R07C01,73.6
204229110156_R08C01,50.3
204229110157_R01C01,57.61
204229110157_R02C01,42.63
204229110157_R03C01,65.28
204229110157_R04C01,43.56
204229110157_R05C01,58.69
204229110157_R06C01,58.61
204229110157_R07C01,37.39
204229110157_R08C01,38.62
204316970136_R01C01,46.52
204316970136_R03C01,41.77
204316970136_R04C01,58.05
204316970136_R05C01,43.6
204316970136_R06C01,38.94
204316970136_R07C01,48.47
204316970136_R08C01,58.56
204316970142_R01C01,60.64
204316970142_R02C01,64.65
204316970142_R03C01,72.2
204316970142_R04C01,47.85
204316970142_R05C01,71.78
204316970142_R06C01,57.81
204316970142_R07C01,54.46
204316970142_R08C01,53.71
204316970161_R01C01,46.13
204316970161_R02C01,55.87
204316970161_R03C01,54.56
204316970161_R04C01,54.46
204316970161_R05C01,69.47
204316970161_R06C01,54.75
204316970161_R07C01,65.08
204220340049_R01C01,57.08
204220340049_R02C01,36.36
204220340049_R03C01,54.33
204220340049_R04C01,31.21
204220340049_R05C01,60.22
204220340049_R06C01,47.11
204220340049_R07C01,52.64
204220340049_R08C01,63.04
204221240010_R01C01,43.08
204221240010_R02C01,50.05
204221240010_R03C01,67.79
204221240010_R04C01,65.93
204221240010_R05C01,54.28
204221240010_R06C01,48.27
204221240010_R07C01,56.76
204221240024_R01C01,64.76
204221240024_R02C01,49.05
204221240024_R03C01,69.48
204221240024_R04C01,84.82
204221240024_R05C01,55
204221240024_R06C01,50.02
204221240024_R07C01,41.7
204221240024_R08C01,41.04
204221240046_R01C01,56.78
204221240046_R02C01,42.65
204221240046_R03C01,61.86
204221240046_R04C01,43.11
204221240046_R05C01,44.77
204221240046_R06C01,49.74
204221240046_R07C01,54.48
204221250052_R01C01,57.79
204221250052_R02C01,46.06
204221250052_R03C01,44.8
204221250052_R04C01,48.63
204221250052_R05C01,51.9
204221250052_R06C01,63.57
204221250052_R07C01,70.55
204221250052_R08C01,69.04
204221250071_R01C01,45.72
204221250071_R02C01,63.35
204221250071_R04C01,46.19
204221250071_R05C01,49.08
204221250071_R06C01,59.61
204221250071_R08C01,69.83
204221250088_R02C01,62.84
204221250088_R03C01,61.2
204221250088_R04C01,NA
204221250088_R05C01,45.19
204221250088_R07C01,60.13
204221250088_R08C01,64.68
204221250094_R04C01,42.81
204221250094_R07C01,45.89
204221250094_R08C01,73.2
204228980114_R01C01,64.28
204228980114_R02C01,58.47
204228980114_R03C01,43.8
204228980114_R04C01,34.05
204228980114_R06C01,53.98
204228980114_R07C01,53.63
204228980114_R08C01,67.6
204229100036_R01C01,60.14
204229100036_R03C01,46.94
204229100036_R04C01,29.62
204229100036_R05C01,72.27
204229100036_R06C01,79.99
204229100036_R07C01,58.31
204229100036_R08C01,28.62
204229100037_R01C01,40.92
204229100037_R02C01,48.85
204229100037_R03C01,36.9
204229100037_R04C01,57.24
204229100037_R05C01,56.15
204229100037_R06C01,66.53
204229100037_R07C01,63.46
204229100037_R08C01,30.09
204229100038_R01C01,44.73
204229100038_R02C01,60.22
204229100038_R03C01,57.19
204229100038_R04C01,58.34
204229100038_R05C01,49.06
204229100038_R06C01,44.12
204229100038_R07C01,63.08
204229100038_R08C01,59.17
204229100039_R01C01,37.05
204229100039_R02C01,58.93
204229100039_R03C01,57.57
204229100039_R04C01,38.74
204229100039_R07C01,66.9
204229100041_R01C01,39.54
204229100041_R02C01,42.9
204229100041_R03C01,53
204229100041_R04C01,63.96
204229100041_R05C01,50.89
204229100041_R06C01,59.87
204229100041_R07C01,56.9
204229100041_R08C01,53.67
204229100042_R01C01,39.9
204229100042_R02C01,56.16
204229100042_R03C01,44.98
204229100042_R04C01,36.49
204229100042_R05C01,49.69
204229100042_R06C01,43.55
204229100042_R07C01,63.96
204229100042_R08C01,65.68
204229100044_R02C01,60.6
204229100044_R03C01,49.37
204229100044_R04C01,61.11
204229100044_R05C01,48.6
204229100044_R06C01,50.61
204229100044_R07C01,64.79
204229100045_R01C01,72.68
204229100045_R02C01,67.75
204229100045_R03C01,68.07
204229100045_R04C01,42.28
204229100045_R05C01,44.92
204229100045_R06C01,49.74
204229100045_R07C01,57.59
204229100063_R01C01,50.54
204229100063_R02C01,60.63
204229100063_R03C01,59.1
204229100063_R04C01,69.77
204229100063_R06C01,45.28
204229100063_R07C01,45.1
204229100063_R08C01,52.77
204229100064_R01C01,49.03
204229100064_R02C01,61.01
204229100064_R03C01,53.78
204229100064_R04C01,44.55
204229100064_R05C01,72.92
204229100064_R06C01,42.36
204229100064_R07C01,66.94
204229100064_R08C01,43.61
204229100065_R01C01,56.52
204229100065_R02C01,56
204229100065_R03C01,62.04
204229100065_R04C01,52.66
204229100065_R05C01,32.42
204229100065_R06C01,55.18
204229100065_R07C01,44.16
204229100098_R01C01,54.34
204229100098_R04C01,59.1
204229100098_R06C01,45.79
204229100100_R01C01,56.02
204229100100_R02C01,43.61
204229100100_R03C01,51.94
204229100100_R04C01,48.88
204229100100_R05C01,63.08
204229100100_R06C01,59.21
204229100101_R01C01,72.94
204229100101_R02C01,45.4
204229100101_R03C01,39.7
204229100101_R04C01,43.67
204229100101_R05C01,37.94
204229100101_R06C01,45.6
204229100101_R07C01,83.06
204229100101_R08C01,35.81
204229100102_R01C01,64.25
204229100102_R02C01,57.53
204229100102_R03C01,55.75
204229100102_R04C01,51.91
204229100102_R05C01,63.52
204229100102_R06C01,87.01
204229100102_R07C01,35.59
204229100102_R08C01,53.67
204229100103_R01C01,77.29
204229100103_R02C01,54.57
204229100103_R03C01,42.67
204229100103_R04C01,43.22
204229100103_R05C01,62.7
